text,label
Poor street lighting in the city center,0
Traffic congestion near the suburban neighborhood,0
Flooding in downtown area after heavy rain,0
Overcrowded public transport in village,0
Abandoned buildings in residential zone,0
Noisy construction in commercial district,0
Lack of parking in urban area,0
Broken sidewalks in local park,0
Illegal parking blocking access roads,0
Stray animals roaming in the streets,0
Inadequate waste collection in the outskirts,0
Vandalism in public spaces downtown,0
Hospital lacks sufficient beds for patients,1
Shortage of medicines in local clinic,1
Long waiting times at emergency room,1
Inadequate healthcare staff in rural hospital,1
Poor sanitation in medical facilities,1
Outdated equipment in health center,1
Lack of vaccination programs in community,1
High costs of medical treatments,1
Insufficient mental health support services,1
Overcrowded wards during flu season,1
Delayed ambulance response times,1
Limited access to specialist doctors,1
Air pollution from factories affecting residents,2
Illegal dumping of waste in local river,2
Deforestation causing soil erosion in area,2
Noise pollution from construction sites,2
Water contamination in nearby lake,2
Chemical spills harming wildlife,2
Excessive use of pesticides in farms,2
Plastic waste littering public parks,2
Oil leaks polluting groundwater,2
Industrial emissions causing health issues,2
Loss of biodiversity due to urban expansion,2
Poor air quality in industrial zone,2
Potholes on highway causing accidents,3
Frequent breakdown of public buses,3
Overloaded trucks damaging roads,3
Lack of traffic signals at intersections,3
Poor maintenance of railway tracks,3
Congested tool booths delaying travel,3
Inadequate road signs in rural areas,3
Flooded underpasses during monsoon,3
Broken bridges restricting access,3
Speeding vehicles on narrow lanes,3
Insufficient parking at transport hubs,3
Delayed train services due to repairs,3
Fire hazard in crowded market,4
Unsafe electrical wiring in buildings,4
Lack of emergency exits in schools,4
Gas leaks reported in residential area,4
Structural weaknesses in old bridges,4
Inadequate fire extinguishers in offices,4
Flood risks in low lying areas,4
Earthquake preparedness lacking in city,4
Poor lighting increasing accident risks,4
Chemical storage without safety measures,4
No lifeguards at public swimming pools,4
Unsecured construction sites posing dangers,4
Theft reported in shopping district,5
Burglary at local residence last night,5
Assault incident in park after dark,5
Vandalism of public property increasing,5
Robbery at convenience store,5
Drug related crimes in urban area,5
Gang violence in neighborhood,5
Fraud cases rising among elderly,5
Domestic violence reports surging,5
Shoplifting incidents at malls,5
Arson suspected in warehouse fire,5
Kidnapping attempt foiled by police,5
Phishing emails targeting bank customers,6
Hacking of company database exposed,6
Identity theft via online scam,6
Malware infecting government systems,6
Ransomware attack on hospital network,6
Data breach leaking personal info,6
Cyberbullying on social media platforms,6
Fake websites stealing credit card details,6
Virus spreading through email attachments,6
Online fraud in e-commerce transactions,6
DDoS attack disrupting services,6
Spyware found on public computers,6
Complaint against noisy neighbors,7
Stray dog problem in locality,7
Graffiti on public walls,7
Littering in community park,7
Delayed mail delivery services,7
Poor internet connectivity in area,7
Overpriced goods at local market,7
Unreliable power supply during storms,7
Lack of playgrounds for children,7
Inadequate public toilets in city,7
Mosquito infestation after rains,7
Complaint about bad customer service,7
